State,state_code,state_id,year,total_population,land_area,population_density,population_change
West Virginia,WV,54,2018,1829054,24038,76.09010733006073,-21427
Wisconsin,WI,55,2018,5778394,54158,106.69511429521032,91175
Wyoming,WY,56,2018,581836,97093,5.992563830554211,19033
Alabama,AL,1,2017,4850771,50645,95.77985980847073,73445
Alaska,AK,2,2017,738565,570641,1.2942725811850182,27426
Arizona,AZ,4,2017,6809946,113594,59.94987411306935,398967
Arkansas,AR,5,2017,2977944,52035,57.229633900259444,61572
California,CA,6,2017,38982847,155779,250.244557995622,1657779
Colorado,CO,8,2017,5436519,103642,52.45478666949692,393666
Connecticut,CT,9,2017,3594478,4842,742.3539859562164,22265
Delaware,DE,10,2017,943732,1949,484.21344279117494,43601
Florida,FL,12,2017,20278447,53625,378.1528578088578,1393295
Georgia,GA,13,2017,10201635,57513,177.37963590840332,487066
Hawaii,HI,15,2017,1421658,6423,221.3386268099019,58928
Idaho,ID,16,2017,1657375,82643,20.054632576261753,89572
Illinois,IL,17,2017,12854526,55519,231.53381725175166,30666
Indiana,IN,18,2017,6614418,35826,184.6261932674594,128888
Iowa,IA,19,2017,3118102,55857,55.822940723633565,70456
Kansas,KS,20,2017,2903820,81759,35.51682383590797,52637
Kentucky,KY,21,2017,4424376,39486,112.0492326394165,84209
Louisiana,LA,22,2017,4663461,43204,107.9404916211462,133856
Maine,ME,23,2017,1330158,30843,43.12673864410077,1074
Maryland,MD,24,2017,5996079,9707,617.7067065004636,210583
Massachusetts,MA,25,2017,6789319,7800,870.4255128205128,228724
Michigan,MI,26,2017,9925568,56539,175.55259201613046,28304
Minnesota,MN,27,2017,5490726,79627,68.9555803935851,177645
