State,state_code,state_id,year,total_population,land_area,population_density,population_change
North Dakota,ND,38,2013,689781,69001,9.996681207518732,13528
Ohio,OH,39,2013,11549590,40861,282.65558845843225,16029
Oklahoma,OK,40,2013,3785742,68595,55.18976601793133,36737
Oregon,OR,41,2013,3868721,95988,40.30421511022211,32093
Pennsylvania,PA,42,2013,12731381,44743,284.5446438549047,31792
Rhode Island,RI,44,2013,1051695,1034,1017.1131528046421,-776
South Carolina,SC,45,2013,4679602,30061,155.67020391869863,49251
South Dakota,SD,46,2013,825198,75811,10.88493754204535,9327
Tennessee,TN,47,2013,6402387,41235,155.26584212440886,49161
Texas,TX,48,2013,25639373,261232,98.14790301341337,430476
Utah,UT,49,2013,2813673,82170,34.24209565534867,47440
Vermont,VT,50,2013,625904,9217,67.90756211348595,406
Virginia,VA,51,2013,8100653,39490,205.13175487465182,85698
Washington,WA,53,2013,6819579,66456,102.61795774647888,80865
West Virginia,WV,54,2013,1853619,24038,77.11203095099425,3138
Wisconsin,WI,55,2013,5706871,54158,105.37447837807895,19652
Wyoming,WY,56,2013,570134,97093,5.872040208871907,7331
